timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1790411837.1937933,9011,Person 8,904.9,1534.4,240.0,1636.09,36.27,True,Active,hafsa,None,Normal,1: Walking
1790411837.2658608,9012,Person 8,928.6,1494.1,240.0,1631.25,38.93,True,Active,hafsa,None,Normal,1: Walking
1790411837.366495,9013,Person 8,957.5,1452.3,320.0,1647.62,41.6,True,Active,hafsa,None,Normal,1: Walking
1790411837.4920292,9014,Person 8,989.0,1408.6,240.0,1660.66,43.78,True,Active,hafsa,None,Normal,1: Walking
1790411837.5707366,9015,Person 8,1016.7,1365.7,160.0,1654.87,44.02,True,Active,hafsa,None,Normal,1: Walking
1790411837.6855938,9016,Person 8,1039.5,1323.8,390.0,1656.79,44.58,True,Active,hafsa,None,Normal,1: Walking
1790411837.7650073,9017,Person 8,1059.8,1283.4,320.0,1654.73,45.64,True,Active,hafsa,None,Normal,1: Walking
1790411837.8398712,9018,Person 8,1079.8,1248.1,80.0,1637.26,46.11,True,Active,hafsa,None,Normal,1: Walking
1790411837.9276388,9019,Person 8,1101.4,1216.5,320.0,1612.0,46.43,True,Active,hafsa,None,Normal,1: Walking
1790411838.0238924,9020,Person 8,1123.6,1188.8,240.0,1592.97,46.53,True,Active,hafsa,None,Normal,1: Walking
1790411838.1024914,9021,Person 8,1140.6,1164.2,240.0,1564.09,46.68,True,Active,hafsa,None,Normal,1: Walking
1790411838.177541,9022,Person 8,1146.9,1140.4,320.0,1498.9,46.54,True,Active,hafsa,None,Normal,1: Walking
1790411838.2386107,9023,Person 8,1141.0,1117.9,320.0,1444.05,45.79,True,Active,hafsa,None,Normal,1: Walking
1790411838.3066475,9024,Person 8,1123.5,1097.5,320.0,1392.37,44.39,True,Active,hafsa,None,Normal,1: Walking
1790411838.366266,9025,Person 8,1100.7,1078.2,560.0,1357.97,42.76,True,Active,hafsa,None,Normal,1: Walking
1790411838.433098,9026,Person 8,1072.1,1058.5,480.0,1317.35,41.74,True,Active,hafsa,None,Normal,1: Walking
1790411838.5049467,9027,Person 8,1037.7,1039.1,240.0,1277.22,41.06,True,Active,hafsa,None,Normal,1: Walking
1790411838.5688536,9028,Person 8,1000.2,1017.4,320.0,1220.96,41.25,True,Active,hafsa,None,Normal,1: Walking
1790411838.6548307,9029,Person 8,962.1,992.6,320.0,1167.96,42.36,True,Active,hafsa,None,Normal,1: Walking
1790411838.7328708,9030,Person 8,922.6,965.0,320.0,1118.71,42.86,True,Active,hafsa,None,Normal,1: Walking
1790411838.8120828,9031,Person 8,881.2,935.2,390.0,1060.57,43.05,True,Active,hafsa,None,Normal,1: Walking
1790411838.875974,9032,Person 8,840.4,905.5,560.0,1000.58,42.81,True,Active,hafsa,None,Normal,1: Walking
1790411838.946355,9033,Person 8,799.9,874.6,560.0,940.27,42.07,True,Active,hafsa,None,Normal,1: Walking
1790411839.0332303,9034,Person 8,761.0,841.4,640.0,884.19,41.42,True,Active,hafsa,None,Normal,1: Walking
1790411839.1253242,9035,Person 8,722.7,804.7,480.0,829.11,40.55,True,Active,hafsa,None,Normal,1: Walking
1790411839.1983178,9036,Person 8,684.1,766.3,390.0,774.52,39.34,True,Active,hafsa,None,Normal,1: Walking
1790411839.283654,9037,Person 8,644.7,727.2,320.0,724.71,37.88,True,Active,hafsa,None,Normal,1: Walking
1790411839.3794248,9038,Person 8,604.1,690.6,160.0,681.11,35.86,True,Active,hafsa,None,Normal,1: Walking
1790411839.490258,9039,Person 8,560.2,658.1,80.0,640.74,32.9,True,Active,hafsa,None,Normal,1: Walking
1790411839.5503116,9040,Person 8,514.0,628.3,-80.0,601.57,29.8,True,Active,hafsa,None,Normal,1: Walking
1790411839.646263,9041,Person 8,466.6,602.4,-240.0,573.37,25.85,True,Active,hafsa,None,Normal,1: Walking
1790411839.7344213,9042,Person 8,418.7,581.6,-320.0,563.1,20.91,True,Active,hafsa,None,Normal,1: Walking
1790411839.8243284,9043,Person 8,370.3,565.8,-480.0,559.39,15.13,True,Active,hafsa,None,Normal,1: Walking
1790411839.9441288,9044,Person 8,320.8,555.0,-390.0,562.25,9.21,True,Active,hafsa,None,Normal,1: Walking
1790411840.0341213,9045,Person 8,269.6,549.0,-390.0,570.64,2.71,True,Active,hafsa,None,Normal,1: Walking
1790411840.1200495,9046,Person 8,217.3,547.5,-240.0,584.88,-3.14,True,Active,hafsa,None,Normal,1: Walking
1790411840.2018507,9047,Person 8,163.7,549.9,-320.0,602.91,-8.68,True,Active,hafsa,None,Normal,1: Walking
1790411840.2703195,9048,Person 8,109.4,555.7,-480.0,626.77,-13.28,True,Active,hafsa,None,Normal,1: Walking
1790411840.364266,9049,Person 8,54.8,564.7,-480.0,658.47,-17.5,True,Active,hafsa,None,Normal,1: Walking
1790411840.4445848,9050,Person 8,-0.6,576.1,-480.0,685.22,-21.85,True,Active,hafsa,None,Normal,1: Walking
1790411840.5381064,9051,Person 8,-56.9,588.5,-560.0,712.44,-26.06,True,Active,hafsa,None,Normal,1: Walking
1790411840.6230702,9052,Person 8,-114.2,600.1,-560.0,741.99,-30.09,True,Active,hafsa,None,Normal,1: Walking
1790411840.7194207,9053,Person 8,-170.8,611.4,-560.0,776.41,-32.75,True,Active,hafsa,None,Normal,1: Walking
1790411840.790347,9054,Person 8,-226.4,623.4,-480.0,820.23,-34.62,True,Active,hafsa,None,Normal,1: Walking
1790411840.9151556,9055,Person 8,-278.9,636.9,-320.0,863.15,-35.24,True,Active,hafsa,None,Normal,1: Walking
1790411840.9614415,9056,Person 8,-327.6,652.5,-390.0,903.86,-35.04,True,Active,hafsa,None,Normal,1: Walking
1790411841.0532448,9057,Person 8,-373.1,670.2,-480.0,946.39,-35.24,True,Active,hafsa,None,Normal,1: Walking
1790411841.155222,9058,Person 8,-416.2,689.3,-560.0,986.02,-35.67,True,Active,hafsa,None,Normal,1: Walking
1790411841.2678902,9059,Person 8,-458.7,708.5,-480.0,1029.82,-37.23,True,Active,hafsa,None,Normal,1: Walking
1790411841.337693,9060,Person 8,-500.3,728.9,-480.0,1075.1,-38.62,True,Active,hafsa,None,Normal,1: Walking
1790411841.4430666,9061,Person 8,-539.7,752.9,-480.0,1128.83,-38.78,True,Active,hafsa,None,Normal,1: Walking
1790411841.5219245,9062,Person 8,-576.5,781.7,-390.0,1188.49,-38.51,True,Active,hafsa,None,Normal,1: Walking
1790411841.6123555,9063,Person 8,-612.7,812.9,-480.0,1242.07,-39.02,True,Active,hafsa,None,Normal,1: Walking
1790411841.7050803,9064,Person 8,-646.7,845.9,-480.0,1288.28,-38.73,True,Active,hafsa,None,Normal,1: Walking
1790411841.786636,9065,Person 8,-680.5,878.9,-560.0,1330.46,-38.93,True,Active,hafsa,None,Normal,1: Walking
1790411841.8718493,9066,Person 8,-714.2,911.8,-560.0,1369.49,-38.69,True,Active,hafsa,None,Normal,1: Walking
1790411841.9754648,9067,Person 8,-747.4,944.5,-640.0,1407.44,-38.6,True,Active,hafsa,None,Normal,1: Walking
1790411842.066258,9068,Person 8,-778.7,979.3,-720.0,1452.15,-37.7,True,Active,hafsa,None,Normal,1: Walking
1790411842.1384866,9069,Person 8,-805.2,1019.3,-640.0,1508.95,-36.05,True,Active,hafsa,None,Normal,1: Walking
1790411842.273044,9070,Person 8,-826.5,1065.3,-640.0,1572.09,-34.22,True,Active,hafsa,None,Normal,1: Walking
1790411842.3746126,9071,Person 8,-845.3,1112.7,-640.0,1623.07,-33.46,True,Active,hafsa,None,Normal,1: Walking
1790411842.4681664,9072,Person 8,-863.6,1159.2,-640.0,1672.71,-33.49,True,Active,hafsa,None,Normal,1: Walking
1790411842.5388067,9073,Person 8,-880.1,1207.7,-560.0,1731.85,-33.15,True,Active,hafsa,None,Normal,1: Walking
1790411842.607739,9074,Person 8,-895.7,1258.0,-640.0,1788.72,-32.54,True,Active,hafsa,None,Normal,1: Walking
1790411842.6877577,9075,Person 8,-909.7,1309.7,-720.0,1833.38,-32.16,True,Active,hafsa,None,Normal,1: Walking
1790411842.7784026,9076,Person 8,-922.9,1363.2,-720.0,1883.87,-31.63,True,Active,hafsa,None,Normal,1: Walking
1790411842.8792222,9077,Person 8,-935.0,1420.0,-640.0,1944.28,-30.92,True,Active,hafsa,None,Normal,1: Walking
1790411842.9483943,9078,Person 8,-946.5,1477.7,-560.0,1996.27,-30.16,True,Active,hafsa,None,Normal,1: Walking
1790411843.0186636,9079,Person 8,-958.4,1534.4,-560.0,2051.2,-29.4,True,Active,hafsa,None,Normal,1: Walking
1790411843.1323526,9080,Person 8,-970.6,1589.9,-480.0,2110.23,-28.47,True,Active,hafsa,None,Normal,1: Walking
1790411843.2283335,9081,Person 8,-982.7,1646.6,-560.0,2173.13,-27.87,True,Active,hafsa,None,Normal,1: Walking
1790411843.309601,9082,Person 8,-991.1,1706.8,-560.0,2236.53,-26.76,True,Active,hafsa,None,Normal,1: Walking
1790411843.3808868,9083,Person 8,-995.7,1769.5,-790.0,2302.17,-25.55,True,Active,hafsa,None,Normal,1: Walking
1790411843.4696608,9084,Person 8,-998.9,1832.4,-720.0,2356.86,-24.94,True,Active,hafsa,None,Normal,1: Walking
1790411843.582431,9085,Person 8,-1001.7,1896.4,-720.0,2410.99,-24.61,True,Active,hafsa,None,Normal,1: Walking
1790411843.6660175,9086,Person 8,-1004.4,1959.3,-640.0,2452.86,-24.44,True,Active,hafsa,None,Normal,1: Walking
1790411843.7497208,9087,Person 8,-1008.5,2020.7,-480.0,2507.81,-24.5,True,Active,hafsa,None,Normal,1: Walking
1790411843.8214002,9088,Person 8,-1015.3,2080.5,-560.0,2558.91,-24.74,True,Active,hafsa,None,Normal,1: Walking
1790411843.9530265,9089,Person 8,-1023.3,2139.2,-480.0,2611.02,-24.6,True,Active,hafsa,None,Normal,1: Walking
1790411844.0315359,9090,Person 8,-1032.1,2196.2,-560.0,2660.35,-24.28,True,Active,hafsa,None,Normal,1: Walking
1790411844.125633,9091,Person 8,-1038.3,2252.9,-390.0,2711.5,-23.43,True,Active,hafsa,None,Normal,1: Walking
1790411844.1857626,9092,Person 8,-1045.3,2307.2,-320.0,2758.9,-22.98,True,Active,hafsa,None,Normal,1: Walking
1790411844.279262,9093,Person 8,-1053.9,2361.3,-1040.0,2831.64,-22.4,True,Active,hafsa,None,Normal,1: Walking
1790411844.4155054,9094,Person 8,-1062.2,2415.0,-240.0,2882.74,-21.94,True,Active,hafsa,None,Normal,1: Walking
1790411844.4937816,9095,Person 8,-1067.2,2466.9,-160.0,2908.68,-21.25,True,Active,hafsa,None,Normal,1: Walking
1790411844.594101,9096,Person 8,-1069.2,2515.2,-240.0,2906.52,-20.86,True,Active,hafsa,None,Normal,1: Walking
1790411844.6801593,9097,Person 8,-1066.9,2560.3,-160.0,2916.09,-20.41,True,Active,hafsa,None,Normal,1: Walking
1790411844.757741,9098,Person 8,-1060.3,2603.1,-240.0,2929.77,-20.06,True,Active,hafsa,None,Normal,1: Walking
1790411844.8342903,9099,Person 8,-1049.0,2643.9,320.0,2947.58,-19.3,True,Active,hafsa,None,Normal,1: Walking
1790411844.9309306,9100,Person 8,-1035.9,2682.3,-160.0,2969.49,-18.92,True,Active,hafsa,None,Normal,1: Walking
1790411845.0393765,9101,Person 8,-1025.1,2719.2,160.0,3017.18,-18.75,True,Active,hafsa,None,Normal,1: Walking
1790411845.1340582,9102,Person 8,-1017.1,2754.2,240.0,3057.14,-19.03,True,Active,hafsa,None,Normal,1: Walking
1790411845.1974688,9103,Person 8,-1009.7,2783.4,390.0,3078.66,-19.05,True,Active,hafsa,None,Normal,1: Walking
1790411845.2888875,9104,Person 8,-1002.9,2807.3,480.0,3082.8,-19.1,True,Active,hafsa,None,Normal,1: Walking
1790411845.3881013,9105,Person 8,-998.5,2826.7,480.0,3075.57,-19.17,True,Active,hafsa,None,Normal,1: Walking
1790411845.4846854,9106,Person 8,-995.0,2844.8,560.0,3064.74,-19.04,True,Active,hafsa,None,Normal,1: Walking
1790411845.5804405,9107,Person 8,-993.0,2860.8,320.0,3059.98,-19.02,True,Active,hafsa,None,Normal,1: Walking
1790411845.642239,9108,Person 8,-991.7,2874.4,390.0,3053.62,-18.96,True,Active,hafsa,None,Normal,1: Walking
1790411845.7352057,9109,Person 8,-993.2,2884.1,390.0,3044.14,-18.96,True,Active,hafsa,None,Normal,1: Walking
1790411845.8062656,9110,Person 8,-995.6,2890.3,480.0,3035.92,-18.97,True,Active,hafsa,None,Normal,1: Walking
1790411845.9093013,9111,Person 8,-997.0,2891.1,240.0,3029.27,-18.96,True,Active,hafsa,None,Normal,1: Walking
1790411846.0069182,9112,Person 8,-994.9,2888.1,720.0,3021.95,-18.84,True,Active,hafsa,None,Normal,1: Walking
1790411846.078985,9113,Person 8,-990.9,2882.5,640.0,3012.73,-18.68,True,Active,hafsa,None,Normal,1: Walking
1790411846.1498127,9114,Person 8,-984.9,2876.4,480.0,3005.75,-18.4,True,Active,hafsa,None,Normal,1: Walking
1790411846.239851,9115,Person 8,-977.2,2870.7,390.0,2996.93,-18.14,True,Active,hafsa,None,Normal,1: Walking
1790411846.3224583,9116,Person 8,-966.9,2864.4,240.0,2972.57,-17.56,True,Active,hafsa,None,Normal,1: Walking
1790411846.421434,9117,Person 8,-954.1,2855.9,480.0,2939.39,-17.2,True,Active,hafsa,None,Normal,1: Walking
1790411846.5093288,9118,Person 8,-940.9,2844.0,480.0,2899.48,-17.25,True,Active,hafsa,None,Normal,1: Walking
1790411846.5934064,9119,Person 8,-926.6,2828.4,480.0,2851.39,-17.26,True,Active,hafsa,None,Normal,1: Walking
1790411846.6832354,9120,Person 8,-910.6,2809.7,560.0,2808.52,-17.13,True,Active,hafsa,None,Normal,1: Walking
1790411846.783036,9121,Person 8,-891.4,2786.7,640.0,2751.45,-16.73,True,Active,hafsa,None,Normal,1: Walking
1790411846.8633735,9122,Person 8,-866.6,2756.5,640.0,2659.58,-15.89,True,Active,hafsa,None,Normal,1: Walking
1790411846.9364748,9123,Person 8,-838.8,2718.7,640.0,2569.54,-15.51,True,Active,hafsa,None,Normal,1: Walking
1790411847.040694,9124,Person 8,-810.1,2672.8,560.0,2482.88,-15.46,True,Active,hafsa,None,Normal,1: Walking
1790411847.1284862,9125,Person 8,-781.7,2621.2,390.0,2420.62,-15.55,True,Active,hafsa,None,Normal,1: Walking
1790411847.2224622,9126,Person 8,-756.9,2563.2,480.0,2345.57,-16.06,True,Active,hafsa,None,Normal,1: Walking
1790411847.3212945,9127,Person 8,-736.3,2499.4,480.0,2269.02,-16.99,True,Active,hafsa,None,Normal,1: Walking
1790411847.3856254,9128,Person 8,-719.4,2433.6,480.0,2221.22,-18.12,True,Active,hafsa,None,Normal,1: Walking
1790411847.488888,9129,Person 8,-705.3,2367.3,390.0,2177.3,-18.89,True,Active,hafsa,None,Normal,1: Walking
1790411847.5870802,9130,Person 8,-686.5,2301.1,390.0,2120.57,-17.54,True,Active,hafsa,None,Normal,1: Walking
1790411847.7415266,9131,Person 8,-661.7,2237.1,320.0,2067.84,-15.25,True,Active,hafsa,None,Normal,1: Walking
1790411847.8260458,9132,Person 8,-635.3,2177.6,240.0,2017.09,-13.3,True,Active,hafsa,None,Normal,1: Walking
1790411847.9000063,9133,Person 8,-604.8,2124.0,320.0,1977.25,-11.14,True,Active,hafsa,None,Normal,1: Walking
1790411847.9765573,9134,Person 8,-569.3,2076.4,240.0,1941.43,-9.1,True,Active,hafsa,None,Normal,1: Walking
1790411848.0596437,9135,Person 8,-528.3,2032.9,320.0,1912.0,-7.18,True,Active,hafsa,None,Normal,1: Walking
1790411848.1220496,9136,Person 8,-480.2,1993.9,390.0,1871.56,-5.15,True,Active,hafsa,None,Normal,1: Walking
1790411848.194879,9137,Person 8,-425.7,1960.3,480.0,1837.79,-3.68,True,Active,hafsa,None,Normal,1: Walking
1790411848.275414,9138,Person 8,-366.0,1929.0,560.0,1800.46,-2.99,True,Active,hafsa,None,Normal,1: Walking
1790411848.3975801,9139,Person 8,-303.3,1898.5,640.0,1756.73,-2.54,True,Active,hafsa,None,Normal,1: Walking
1790411848.481563,9140,Person 8,-244.0,1868.5,480.0,1722.61,-1.53,True,Active,hafsa,None,Normal,1: Walking
1790411848.5542073,9141,Person 8,-187.3,1838.1,320.0,1691.16,0.78,True,Active,hafsa,None,Normal,1: Walking
1790411848.6415439,9142,Person 8,-133.2,1806.8,240.0,1651.8,2.67,True,Active,hafsa,None,Normal,1: Walking
1790411848.7211416,9143,Person 8,-83.6,1772.9,320.0,1605.05,4.07,True,Active,hafsa,None,Normal,1: Walking
1790411848.810873,9144,Person 8,-38.3,1737.0,240.0,1564.83,5.35,True,Active,hafsa,None,Normal,1: Walking
1790411848.891901,9145,Person 8,1.0,1698.1,240.0,1515.84,5.83,True,Active,hafsa,None,Normal,1: Walking
1790411848.9985433,9146,Person 8,35.3,1659.0,240.0,1483.36,6.78,True,Active,hafsa,None,Normal,1: Walking
1790411849.0964293,9147,Person 8,70.0,1623.5,240.0,1496.62,8.8,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.1686282,9148,Person 8,106.9,1591.1,240.0,1499.43,10.57,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.2633104,9149,Person 8,144.3,1560.8,80.0,1481.86,11.52,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.344995,9150,Person 8,182.1,1531.1,80.0,1463.16,13.11,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.4447722,9151,Person 8,217.0,1501.5,80.0,1443.75,14.93,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.5277271,9152,Person 8,249.5,1472.2,160.0,1415.29,16.5,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.6027856,9153,Person 8,280.1,1445.5,80.0,1398.55,17.48,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.707846,9154,Person 8,308.6,1421.3,160.0,1384.78,18.13,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.7900176,9155,Person 8,336.7,1399.4,160.0,1360.42,18.65,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.872865,9156,Person 8,363.8,1378.9,80.0,1344.15,19.38,True,Active,hafsa,None,Normal,2: Standing / idle
1790411849.9660096,9157,Person 8,386.1,1356.8,80.0,1336.74,19.76,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.0495534,9158,Person 8,404.5,1334.3,80.0,1330.67,20.18,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.14905,9159,Person 8,421.2,1312.8,80.0,1320.81,20.52,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.259611,9160,Person 8,434.7,1293.3,80.0,1315.67,20.79,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.349633,9161,Person 8,443.3,1276.4,80.0,1308.76,20.48,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.4473321,9162,Person 8,447.7,1261.7,80.0,1289.58,20.23,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.525142,9163,Person 8,449.9,1248.2,0.0,1277.88,20.24,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.6174488,9164,Person 8,450.5,1235.5,80.0,1266.76,20.18,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.6974201,9165,Person 8,449.7,1224.3,80.0,1252.06,19.94,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.7743828,9166,Person 8,446.6,1214.5,0.0,1241.42,19.53,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.8657627,9167,Person 8,441.7,1204.5,80.0,1226.12,19.19,True,Active,hafsa,None,Normal,2: Standing / idle
1790411850.9503696,9168,Person 8,435.5,1194.1,0.0,1211.87,19.12,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.0444434,9169,Person 8,428.2,1183.6,0.0,1197.3,19.01,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.1246574,9170,Person 8,420.2,1172.6,0.0,1184.98,19.06,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.2206144,9171,Person 8,413.3,1160.8,0.0,1174.3,19.35,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.2943506,9172,Person 8,407.2,1149.5,0.0,1162.6,19.34,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.3927271,9173,Person 8,401.3,1138.5,0.0,1154.39,19.38,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.4936275,9174,Person 8,395.9,1128.0,0.0,1149.67,19.46,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.568869,9175,Person 8,391.6,1118.5,0.0,1148.12,19.54,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.682392,9176,Person 8,388.5,1109.6,0.0,1147.18,19.56,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.7521262,9177,Person 8,386.4,1101.4,-80.0,1141.8,19.55,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.8503435,9178,Person 8,384.8,1094.2,0.0,1138.64,19.55,True,Active,hafsa,None,Normal,2: Standing / idle
1790411851.9348211,9179,Person 8,383.8,1088.1,0.0,1136.42,19.54,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.0355127,9180,Person 8,383.1,1083.2,0.0,1136.42,19.54,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.1043181,9181,Person 8,382.3,1079.4,0.0,1135.81,19.6,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.195227,9182,Person 8,381.9,1076.7,0.0,1135.81,19.6,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.2731757,9183,Person 8,381.9,1074.8,0.0,1136.48,19.69,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.3779218,9184,Person 8,382.0,1073.2,0.0,1134.94,19.78,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.4716778,9185,Person 8,382.2,1071.8,0.0,1135.61,19.87,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.5688102,9186,Person 8,382.5,1070.5,0.0,1135.95,19.92,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.656993,9187,Person 8,383.2,1069.7,0.0,1136.64,20.01,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.7388222,9188,Person 8,384.1,1069.2,0.0,1136.98,20.06,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.80733,9189,Person 8,385.2,1068.9,0.0,1137.32,20.11,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.9115164,9190,Person 8,386.4,1068.5,0.0,1136.73,20.17,True,Active,hafsa,None,Normal,2: Standing / idle
1790411852.9963937,9191,Person 8,387.6,1068.2,0.0,1137.07,20.22,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.0858705,9192,Person 8,388.8,1067.7,0.0,1135.2,20.25,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.1625717,9193,Person 8,389.7,1066.9,0.0,1132.04,20.26,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.293081,9194,Person 8,390.3,1066.0,0.0,1128.53,20.22,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.3826656,9195,Person 8,390.4,1064.8,0.0,1124.68,20.13,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.4549317,9196,Person 8,390.3,1063.3,0.0,1121.52,20.13,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.5341594,9197,Person 8,389.8,1061.7,0.0,1119.89,20.05,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.6096334,9198,Person 8,389.2,1060.0,0.0,1118.95,20.07,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.7089856,9199,Person 8,388.5,1058.3,0.0,1118.95,20.07,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.7939086,9200,Person 8,387.8,1056.8,0.0,1120.24,20.1,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.8974452,9201,Person 8,387.2,1055.3,0.0,1120.93,20.2,True,Active,hafsa,None,Normal,2: Standing / idle
1790411853.9938095,9202,Person 8,386.8,1054.0,0.0,1121.62,20.29,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.0688698,9203,Person 8,386.3,1052.8,0.0,1119.05,20.23,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.1590173,9204,Person 8,386.0,1051.7,0.0,1117.17,20.27,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.2403798,9205,Person 8,386.0,1050.8,0.0,1116.23,20.29,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.3411536,9206,Person 8,386.3,1050.1,0.0,1115.99,20.4,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.436008,9207,Person 8,386.9,1049.5,0.0,1116.34,20.45,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.5207934,9208,Person 8,387.6,1049.0,0.0,1116.69,20.5,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.6057758,9209,Person 8,388.4,1048.4,0.0,1116.1,20.56,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.6965654,9210,Person 8,389.1,1047.7,0.0,1116.1,20.56,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.7707717,9211,Person 8,389.7,1047.1,0.0,1117.39,20.59,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.8544724,9212,Person 8,390.2,1046.6,0.0,1118.68,20.62,True,Active,hafsa,None,Normal,2: Standing / idle
1790411854.9432619,9213,Person 8,391.1,1046.4,0.0,1120.32,20.7,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.0615532,9214,Person 8,392.1,1046.5,0.0,1121.61,20.73,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.1703298,9215,Person 8,393.0,1046.7,0.0,1121.26,20.68,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.230147,9216,Person 8,393.7,1047.0,0.0,1121.26,20.68,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.306056,9217,Person 8,394.4,1047.2,0.0,1120.68,20.75,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.3884835,9218,Person 8,395.1,1047.5,0.0,1121.96,20.78,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.5172675,9219,Person 8,395.8,1047.9,0.0,1122.32,20.82,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.596302,9220,Person 8,396.6,1048.4,0.0,1123.61,20.85,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.7080052,9221,Person 8,397.5,1049.0,0.0,1126.19,20.91,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.7668097,9222,Person 8,398.3,1049.5,0.0,1126.19,20.91,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.8517733,9223,Person 8,399.0,1049.9,0.0,1126.55,20.96,True,Active,hafsa,None,Normal,2: Standing / idle
1790411855.9297552,9224,Person 8,399.6,1050.2,0.0,1126.55,20.96,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.043385,9225,Person 8,400.3,1050.5,0.0,1126.55,20.96,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.132978,9226,Person 8,401.0,1050.8,0.0,1126.55,20.96,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.2117174,9227,Person 8,401.6,1051.3,0.0,1127.48,20.94,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.2898638,9228,Person 8,402.1,1051.8,0.0,1128.42,20.92,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.3828545,9229,Person 8,402.6,1052.3,0.0,1128.77,20.97,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.460139,9230,Person 8,403.1,1052.8,0.0,1130.07,21.0,True,Active,hafsa,None,Normal,2: Standing / idle
1790411856.5667696,9231,Person 8,403.4,1053.1,0.0,1130.07,21.0,True,Active,hafsa,None,Normal,2: Standing / idle
